T,P,S,O,D,A
251,3,5,1,0,5
986,2,4,2,0,1
251,2,4,2,0,1
286,2,2,3,0,3
986,2,4,2,0,1
251,2,2,4,0,2
142,3,4,5,0,1
157,2,5,4,0,1
986,2,4,4,0,1
197,3,5,2,0,1
165,1,3,2,0,1
251,2,4,6,0,1
251,2,5,7,0,2
149,1,3,8,0,2
251,1,3,8,0,2
493,3,3,4,0,2
986,2,5,4,0,1
1958,3,3,8,0,9
986,1,4,3,0,1
251,3,5,3,0,2
986,2,4,3,0,1
267,3,6,3,0,1
251,2,3,3,0,1
142,3,2,4,0,1
142,3,6,2,0,2
251,2,5,6,0,2
142,3,3,2,0,2
142,3,4,4,0,1
157,2,4,3,0,1
165,3,4,4,0,1
1958,3,2,3,0,1
251,3,2,1,0,2
986,3,3,3,0,1
149,3,5,3,0,2
986,2,3,5,0,2
986,3,4,2,0,1
251,2,5,3,0,6
1958,3,4,9,0,5
157,1,5,2,0,1
251,1,2,6,0,3
986,2,5,4,0,1
142,3,3,2,0,1
251,3,3,2,0,1
178,3,4,2,0,1
157,2,4,1,0,1
986,3,7,3,0,1
186,1,3,2,0,1
142,3,5,6,0,1
862,2,2,3,0,3
251,3,4,3,0,2
149,3,6,4,0,1
149,3,6,4,0,1
165,3,4,3,0,2
186,3,6,2,0,1
986,1,6,6,0,1
267,5,4,6,0,1
137,3,4,6,0,1
137,1,2,2,0,1
165,2,5,1,0,1
149,3,4,6,0,2
986,3,6,2,0,1
338,3,6,6,0,2
251,5,2,10,0,1
986,3,6,6,0,2
986,3,6,6,0,1
986,3,6,6,0,1
986,3,6,6,0,1
986,5,6,6,0,2
137,3,2,2,0,2
986,2,4,5,0,1
251,3,5,3,0,1
267,3,6,3,0,1
986,2,5,3,0,1
372,3,5,3,0,1
267,2,5,3,0,1
251,3,4,3,0,1
251,3,2,6,0,2
137,3,4,6,0,1
267,2,4,4,0,1
137,3,7,6,0,1
986,3,6,6,0,1
251,3,6,6,0,1
251,3,6,6,0,1
251,3,6,6,0,1
157,3,6,6,0,1
157,3,6,6,0,2
137,3,5,2,0,1
157,3,6,6,0,4
157,3,6,6,0,1
157,3,6,6,0,1
149,3,4,3,0,1
430,5,3,6,0,1
286,3,6,8,0,1
186,3,4,8,0,1
149,2,5,2,0,1
338,3,5,10,0,1
986,3,6,10,0,1
157,3,4,4,0,1
149,3,5,10,0,1
137,5,5,2,0,1
137,3,7,6,0,2
